phone,first_name,last_name,address,city,state,zip,county,email
504-845-1427,James,Butt,6649 N Blue Gum St,New Orleans,LA,70116,Orleans,jbutt@gmail.com
810-374-9840,Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,MI,48116,Livingston,josephine_darakjy@darakjy.org
856-264-4130,Art,Venere,8 W Cerritos Ave #54,Bridgeport,NJ,8014,Gloucester,art@venere.org
907-921-2010,Lenna,Paprocki,639 Main St,Anchorage,AK,99501,Anchorage,lpaprocki@hotmail.com
513-549-4561,Donette,Foller,34 Center St,Hamilton,OH,45011,Butler,donette.foller@cox.net
419-800-6759,Simona,Morasca,3 Mcauley Dr,Ashland,OH,44805,Ashland,simona@morasca.com
773-924-8565,Mitsue,Tollner,7 Eads St,Chicago,IL,60632,Cook,mitsue_tollner@yahoo.com
408-813-1105,Leota,Dilliard,7 W Jackson Blvd,San Jose,CA,95111,Santa Clara,leota@hotmail.com
605-794-4895,Sage,Wieser,5 Boston Ave #88,Sioux Falls,SD,57105,Minnehaha,sage_wieser@cox.net
410-804-4694,Kris,Marrier,228 Runamuck Pl #2808,Baltimore,MD,21224,Baltimore City,kris@gmail.com
215-422-8694,Minna,Amigon,2371 Jerrold Ave,Kulpsville,PA,19443,Montgomery,minna_amigon@yahoo.com
631-677-3675,Abel,Maclead,37275 St  Rt 17m M,Middle Island,NY,11953,Suffolk,amaclead@gmail.com
310-254-3084,Kiley,Caldarera,25 E 75th St #69,Los Angeles,CA,90034,Los Angeles,kiley.caldarera@aol.com
440-579-7763,Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,OH,44023,Geauga,gruta@cox.net
956-841-7216,Cammy,Albares,56 E Morehead St,Laredo,TX,78045,Webb,calbares@gmail.com
602-953-6360,Mattie,Poquette,73 State Road 434 E,Phoenix,AZ,85013,Maricopa,mattie@aol.com
931-235-7959,Meaghan,Garufi,69734 E Carrillo St,Mc Minnville,TN,37110,Warren,meaghan@hotmail.com
414-377-2880,Gladys,Rim,322 New Horizon Blvd,Milwaukee,WI,53207,Milwaukee,gladys.rim@rim.org
313-341-4470,Yuki,Whobrey,1 State Route 27,Taylor,MI,48180,Wayne,yuki_whobrey@aol.com
815-426-5657,Fletcher,Flosi,394 Manchester Blvd,Rockford,IL,61109,Winnebago,fletcher.flosi@yahoo.com
610-492-4643,Bette,Nicka,6 S 33rd St,Aston,PA,19014,Delaware,bette_nicka@cox.net
408-813-4592,Veronika,Inouye,6 Greenleaf Ave,San Jose,CA,95111,Santa Clara,vinouye@aol.com
972-896-4882,Willard,Kolmetz,618 W Yakima Ave,Irving,TX,75062,Dallas,willard@hotmail.com
518-448-8982,Maryann,Royster,74 S Westgate St,Albany,NY,12204,Albany,mroyster@royster.com
732-635-3453,Alisha,Slusarski,3273 State St,Middlesex,NJ,8846,Middlesex,alisha@slusarski.com
